Serialnumber: Y2007YEF00GL2, Testresult: Failed
"ExecutionNumberInTest";"ThreadNumber";"ExecutionNumberInThread";"ExecutionCountOfStep";"SectionId";"SectionSubId";"Id";"PluginName";"CategoryName";"CommandName";"ExternalId";"Text";"LowerLimit";"Value";"TypeOfValue";"UpperLimit";"Unit";"CompareMode";"ValidationStatus";"StatusText";"StartTime";"StepTime";"Result"

1;1;1;0;"CHECK_IF_LOCKED";;"CHECK_IF_ENABLED";"EXECUTION_ENGINE";"EXECUTION";"JUMP_BY_STRING";;"Check if enabled";;"True";"CompareBool";;;"FixTrue";"Valid";"The searchstring 'False' was found in 'False' using following criteria: 'Contains' und 'CurrentCulture'. The teststep was marked as good and execution will continue with step '@END'.";34.1216;0.1615;"True"
2;1;2;0;"SEQUENCE";;"CLEAR_PROMPTS";"TESTMAN";"PROMPTS";"CLEAR";;"CLEAR_PROMPTS";;"True";"CompareBool";;;"FixTrue";"Valid";"Result is set to 'true' by FixedTrue";34.4746;5,004.2250;"True"
3;1;3;0;"SEQUENCE";;"CALL_TEST";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"CALL_TEST";;"False";"CompareBool";;;"JustBool";"Valid";"Executed section 'TEST_SEQUENCE' with SubId '' and executionmode 'CancelOnFirstFailure' and condition Exec. Next command key: '@NEXT'";5,038.7790;9,686.8298;"False"
    4;1;4;0;"TEST_SEQUENCE";;"CALL_OPEN_ALL_RELAYS_AT_END_COPY1";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"CALL_OPEN_ALL_RELAYS_AT_END";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'ALL_OPEN_AT_END' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,039.4840;97.8359;"True"
        5;1;5;0;"ALL_OPEN_AT_END";;"SET_OUTPUT_1_OFF";"STRING";"WRITE";"TO_HARDWARE";;"SET_OUTPUT_1_OFF";;"OUTPUT OFF";"CompareString";;;"FixTrue";"Valid";"Updated text channels value.";5,039.8133;20.2356;"True"
        6;1;6;0;"ALL_OPEN_AT_END";;"SET_OUTPUT_2_OFF";"STRING";"WRITE";"TO_HARDWARE";;"SET_OUTPUT_2_OFF";;"OUTPUT OFF";"CompareString";;;"FixTrue";"Valid";"Updated text channels value.";5,060.1176;11.3679;"True"
        7;1;7;0;"ALL_OPEN_AT_END";;"DISCONNECT_DUT";"DIGITAL";"WRITE";"MULTI5";;"Disconnect DUT";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,071.5208;21.7956;"True"
        8;1;8;0;"ALL_OPEN_AT_END";;"RESET";"TSASWITCHUNIT";"SWITCH";"RESET";;"Reset";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,093.3659;24.2138;"True"
        9;1;9;0;"ALL_OPEN_AT_END";;"DISCONNECT_LIN";"PCF_LIN";"GENERAL";"DISCONNECT";;"Disconnect_LIN";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,117.6261;0.0692;"True"
