Serialnumber: Y2007YEF00GL2, Testresult: Successful
"ExecutionNumberInTest";"ThreadNumber";"ExecutionNumberInThread";"ExecutionCountOfStep";"SectionId";"SectionSubId";"Id";"PluginName";"CategoryName";"CommandName";"ExternalId";"Text";"LowerLimit";"Value";"TypeOfValue";"UpperLimit";"Unit";"CompareMode";"ValidationStatus";"StatusText";"StartTime";"StepTime";"Result"

1;1;1;0;"CHECK_IF_LOCKED";;"CHECK_IF_ENABLED";"EXECUTION_ENGINE";"EXECUTION";"JUMP_BY_STRING";;"Check if enabled";;"True";"CompareBool";;;"FixTrue";"Valid";"The searchstring 'False' was found in 'False' using following criteria: 'Contains' und 'CurrentCulture'. The teststep was marked as good and execution will continue with step '@END'.";33.2554;0.1098;"True"
2;1;2;0;"SEQUENCE";;"CLEAR_PROMPTS";"TESTMAN";"PROMPTS";"CLEAR";;"CLEAR_PROMPTS";;"True";"CompareBool";;;"FixTrue";"Valid";"Result is set to 'true' by FixedTrue";33.5473;5,000.2436;"True"
3;1;3;0;"SEQUENCE";;"CALL_TEST";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE_WITH_RETRY";;"CALL_TEST";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'TEST_SEQUENCE' with SubId '' and executionmode 'CancelOnFirstFailure' and condition Exec. Next command key: '@NEXT'";5,033.8677;19,364.3345;"True"
    4;1;4;0;"TEST_SEQUENCE";;"CALL_OPEN_ALL_RELAYS_AT_END_COPY1";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"CALL_OPEN_ALL_RELAYS_AT_END";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'ALL_OPEN_AT_END' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,040.9276;89.6577;"True"
        5;1;5;0;"ALL_OPEN_AT_END";;"SET_OUTPUT_1_OFF";"STRING";"WRITE";"TO_HARDWARE";;"SET_OUTPUT_1_OFF";;"OUTPUT OFF";"CompareString";;;"FixTrue";"Valid";"Updated text channels value.";5,041.2940;13.7174;"True"
        6;1;6;0;"ALL_OPEN_AT_END";;"SET_OUTPUT_2_OFF";"STRING";"WRITE";"TO_HARDWARE";;"SET_OUTPUT_2_OFF";;"OUTPUT OFF";"CompareString";;;"FixTrue";"Valid";"Updated text channels value.";5,055.0742;11.2050;"True"
        7;1;7;0;"ALL_OPEN_AT_END";;"DISCONNECT_DUT";"DIGITAL";"WRITE";"MULTI5";;"Disconnect DUT";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,066.3056;19.3395;"True"
        8;1;8;0;"ALL_OPEN_AT_END";;"RESET";"TSASWITCHUNIT";"SWITCH";"RESET";;"Reset";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,085.6960;24.5578;"True"
        9;1;9;0;"ALL_OPEN_AT_END";;"DISCONNECT_LIN";"PCF_LIN";"GENERAL";"DISCONNECT";;"Disconnect_LIN";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,110.3011;0.0723;"True"
        10;1;10;0;"ALL_OPEN_AT_END";;"OPEN_PSU_RELAYS";"DIGITAL";"WRITE";"MULTI4";;"Open PSU_Relays";;"True";"CompareBool";;;"FixTrue";"Valid";"Result is set to 'true' by FixedTrue";5,110.3890;19.8732;"True"
